begin_time;end_time;Diferencia_tiempo;Low_freq;high _freq;Max_time;Energy;Max_entropy;Max_Freq;Max_Power;Min_Entropy;Peak_freq;Longiti;Pais
74.351;78.392;4.041;95.00;3135.6;76.730;111.8;4.634;1550.4;99.4;1.470;1550.4;696.00;venezuela
3.963;4.178;215.00;0.0;3551.7;4.063;93.7;4.072;1464.3;85.3;1.471;1464.3;37.00;costa_rica
10.555;11.582;1.027;765.00;3439.0;10.675;114.4;4.293;1636.5;101.9;1.479;1636.5;177.00;costa_rica
436.00;810.00;374.00;309.0;4635.2;757.00;113.6;4.926;1593.8;100.6;1.481;1593.8;70.00;costa_rica
23.943;25.928;1.985;732.0;4025.7;24.602;116.3;4.771;1722.7;103.3;1.482;1722.7;342.00;costa_rica
23.943;25.928;1.985;732.0;4025.7;24.602;116.3;4.771;1722.7;103.3;1.482;1722.7;342.00;venezuela
23.476;24.994;1.518;422.4;3801.7;24.602;117.6;4.449;1722.7;103.3;1.483;1722.7;261.00;costa_rica
33.00;1.433;1.400;0.0;5292.8;757.00;114.5;5.084;1593.8;100.6;1.484;1593.8;210.00;costa_rica
1.438;2.804;1.366;602.5;5060.7;1.927;115.9;4.439;1636.5;101.7;1.489;1636.5;236.00;ecuador
37.440;38.979;1.539;194.3;3691.2;37.732;109.8;4.761;1550.4;96.9;1.490;1550.4;265.00;venezuela
3.736;5.060;1.324;204.2;5512.5;4.168;123.2;5.353;3273.0;109.7;1.503;3273.0;228.00;costa_rica
3.736;5.060;1.324;204.2;5512.5;4.168;123.2;5.353;3273.0;109.7;1.503;3273.0;228.00;costa_rica
6.796;7.501;705.00;643.00;3302.6;7.036;106.5;4.714;1808.8;95.8;1.504;1808.8;122.00;venezuela
2.853;3.176;323.00;665.9;4957.6;3.007;94.5;4.559;3186.9;83.8;1.507;3186.9;56.00;costa_rica
10.161;12.263;2.102;457.5;3751.2;10.339;108.9;4.736;1636.5;95.4;1.515;1636.5;362.00;costa_rica
10.161;12.263;2.102;457.5;3751.2;10.339;108.9;4.736;1636.5;95.4;1.515;1636.5;362.00;costa_rica
10.044;11.796;1.752;675.9;3717.2;10.130;109.9;4.655;1722.7;95.6;1.515;1722.7;302.00;costa_rica
7.008;8.876;1.868;549.0;3842.7;7.018;109.8;4.637;1722.7;97.5;1.524;1722.7;322.00;costa_rica
7.008;8.876;1.868;549.0;3842.7;7.018;109.8;4.637;1722.7;97.5;1.524;1722.7;322.00;costa_rica
6.584;7.170;586.00;467.2;3924.2;6.751;105.4;4.569;1550.4;94.8;1.525;1550.4;101.00;costa_rica
6.651;7.334;683.00;241.0;4096.7;6.751;105.4;4.764;1550.4;94.8;1.526;1550.4;118.00;ecuador
3.422;3.595;173.00;469.1;3002.6;3.448;94.9;4.319;1636.5;85.9;1.528;1636.5;30.00;venezuela
27.097;27.664;567.00;306.2;4491.7;27.365;118.7;5.271;3273.0;107.8;1.532;3273.0;98.00;costa_rica
27.097;27.664;567.00;306.2;4491.7;27.365;118.7;5.271;3273.0;107.8;1.532;3273.0;98.00;costa_rica
27.097;27.664;567.00;306.2;4491.7;27.365;118.7;5.271;3273.0;107.8;1.532;3273.0;98.00;costa_rica
27.097;27.664;567.00;306.2;4491.7;27.365;118.7;5.271;3273.0;107.8;1.532;3273.0;98.00;costa_rica
40.479;41.141;662.00;816.7;4389.6;40.739;120.5;4.797;3359.2;108.5;1.540;3359.2;114.00;costa_rica
24.214;27.727;3.513;567.00;3520.6;27.690;119.1;4.628;1550.4;101.6;1.542;1550.4;605.00;venezuela
3.971;5.723;1.752;760.3;3632.8;3.982;108.7;4.573;1636.5;94.9;1.555;1636.5;301.00;costa_rica
312.00;1.433;1.121;638.8;3558.9;19.205;112.1;4.222;1875.0;98.9;1.564;1875.0;152.00;costa_rica
818.00;1.869;1.051;422.4;3717.2;1.254;104.4;4.089;1636.5;93.2;1.565;1636.5;181.00;costa_rica
1.689;2.689;1.000;280.3;4578.2;1.927;115.7;4.068;1636.5;101.7;1.575;1636.5;173.00;costa_rica
132.00;686.00;554.00;378.5;4069.3;192.00;113.0;4.858;1894.9;101.1;1.577;1894.9;96.00;costa_rica
20.545;22.061;1.516;533.00;3439.0;20.886;112.9;4.831;861.3;103.0;1.584;861.3;261.00;venezuela
2.053;2.280;227.00;739.9;4069.6;2.148;94.1;4.388;1550.4;82.5;1.592;1550.4;39.00;costa_rica
2.053;2.280;227.00;739.9;4069.6;2.148;94.1;4.388;1550.4;82.5;1.592;1550.4;79.00;costa_rica
12.371;13.004;633.00;662.4;3880.0;12.690;117.9;4.734;3876.0;105.0;1.594;3876.0;109.00;costa_rica
59.278;61.047;1.769;657.00;3540.1;60.128;116.7;4.850;1205.9;106.7;1.597;1205.9;305.00;venezuela
29.956;30.783;827.00;186.9;3924.2;30.244;106.8;4.690;1550.4;95.3;1.600;1550.4;142.00;costa_rica
15.706;16.834;1.128;388.2;3493.8;16.028;120.9;4.804;1550.4;107.4;1.610;1550.4;194.00;venezuela
5.556;6.441;885.00;995.5;3086.0;5.770;110.0;4.120;1378.1;100.6;1.617;1378.1;152.00;ecuador
25.772;27.311;1.539;754.00;3691.2;25.913;113.7;4.925;1808.8;101.6;1.622;1808.8;265.00;venezuela
5.181;5.492;311.00;148.0;3847.7;5.259;97.0;4.512;1464.3;85.7;1.625;1464.3;54.00;costa_rica
5.181;5.492;311.00;148.0;3847.7;5.259;97.0;4.512;1464.3;85.7;1.625;1464.3;73.00;ecuador
5.181;5.492;311.00;148.0;3847.7;5.259;97.0;4.512;1464.3;85.7;1.625;1464.3;42.00;venezuela
5.181;5.492;311.00;148.0;3847.7;5.259;97.0;4.512;1464.3;85.7;1.625;1464.3;46.00;venezuela
5.181;5.492;311.00;148.0;3847.7;5.259;97.0;4.512;1464.3;85.7;1.625;1464.3;100.00;venezuela
4.168;4.563;395.00;547.00;3312.2;4.238;109.6;4.317;3186.9;101.1;1.634;3186.9;69.00;costa_rica
8.957;9.501;544.00;506.9;5406.9;9.033;114.8;4.894;3531.4;104.5;1.651;3531.4;93.00;ecuador
12.323;13.409;1.086;193.4;6092.8;12.370;121.5;5.390;1464.3;106.2;1.652;1464.3;187.00;costa_rica
8.592;9.159;567.00;764.7;3707.5;9.056;108.8;4.887;1464.3;95.5;1.660;1464.3;97.00;ecuador
9.033;13.048;4.015;453.00;3335.3;12.788;120.3;4.828;1550.4;99.9;1.666;1550.4;691.00;venezuela
1.016;1.231;215.00;1098.3;5491.4;1.056;114.5;4.194;1464.3;104.3;1.669;1464.3;38.00;ecuador
7.465;7.860;395.00;678.00;3880.0;7.488;107.3;4.731;1464.3;100.1;1.673;1464.3;69.00;costa_rica
4.447;5.481;1.034;560.6;3924.2;4.986;117.7;4.499;1550.4;105.0;1.675;1550.4;178.00;costa_rica
9.107;9.808;701.00;353.00;3439.0;9.485;107.5;4.279;2928.5;95.8;1.683;2928.5;121.00;costa_rica
4.422;4.889;467.00;0.0;5060.7;4.499;106.4;4.820;1550.4;95.6;1.685;1550.4;81.00;ecuador
70.477;72.498;2.021;97.00;3944.7;71.454;113.0;4.909;1636.5;99.8;1.697;1636.5;348.00;venezuela
7.376;7.903;527.00;97.6;3902.7;7.378;106.3;4.879;1464.3;96.5;1.700;1464.3;91.00;ecuador
13.840;14.488;648.00;632.00;4390.5;13.990;114.7;5.083;3273.0;101.1;1.701;3273.0;111.00;ecuador
15.831;16.959;1.128;483.6;5609.2;16.028;121.5;5.283;1550.4;107.4;1.704;1550.4;194.00;costa_rica
11.680;13.099;1.419;612.5;5206.2;12.219;125.4;5.158;3359.2;110.8;1.728;3359.2;244.00;costa_rica
7.644;8.013;369.00;675.9;4731.0;7.668;107.5;4.452;1550.4;95.7;1.728;1550.4;64.00;ecuador
10.010;10.902;892.00;292.7;4292.9;10.542;111.1;5.065;3186.9;97.1;1.738;3186.9;153.00;ecuador
63.609;66.243;2.634;277.9;3798.5;65.167;114.6;4.834;1808.8;102.5;1.739;1808.8;454.00;venezuela
16.394;17.385;991.00;230.9;5425.9;16.562;116.6;4.819;3703.7;103.7;1.741;3703.7;170.00;venezuela
21.095;22.306;1.211;310.6;4037.3;21.328;118.7;4.951;3014.6;105.4;1.750;3014.6;209.00;venezuela
24.00;22.390;22.367;543.00;5609.2;21.328;118.8;5.477;3014.6;105.4;1.760;3014.6;232.00;costa_rica
21.095;22.390;1.295;456.00;5609.2;21.328;118.8;5.477;3014.6;105.4;1.760;3014.6;223.00;costa_rica
3.634;4.845;1.211;0.0;4580.8;3.994;120.4;5.077;3014.6;104.8;1.760;3014.6;208.00;venezuela
40.273;42.657;2.384;456.00;3613.2;41.233;115.8;4.817;1464.3;100.8;1.761;1464.3;411.00;venezuela
9.733;10.568;835.00;388.2;4503.2;9.793;121.9;5.077;1464.3;106.7;1.765;1464.3;144.00;venezuela
24.019;25.355;1.336;568.00;4255.3;24.584;117.9;5.168;1550.4;104.7;1.766;1550.4;246.00;costa_rica
24.019;25.355;1.336;327.00;4255.3;24.584;117.9;5.168;1550.4;104.7;1.766;1550.4;230.00;costa_rica
53.553;55.237;1.684;678.00;3843.6;54.422;113.1;4.851;1550.4;101.0;1.766;1550.4;290.00;venezuela
8.437;9.236;799.00;692.7;6234.0;8.586;116.8;4.651;1550.4;104.0;1.768;1550.4;137.00;venezuela
4.794;5.848;1.054;1039.0;5195.0;5.039;112.8;4.891;1722.7;97.8;1.771;1722.7;182.00;venezuela
1.055;1.635;580.00;189.3;4258.6;1.277;111.0;5.023;3186.9;100.8;1.773;3186.9;100.00;costa_rica
9.153;10.050;897.00;479.00;3785.4;9.433;115.4;5.042;3359.2;102.9;1.783;3359.2;155.00;costa_rica
263.00;657.00;394.00;425.00;4217.6;406.00;95.5;4.704;1550.4;82.7;1.783;1550.4;68.00;costa_rica
6.725;7.853;1.128;232.9;4580.8;6.850;122.0;5.140;3359.2;107.0;1.785;3359.2;194.00;venezuela
26.103;26.529;426.00;918.8;4900.0;26.291;122.8;4.828;3186.9;109.3;1.794;3186.9;74.00;costa_rica
3.176;3.876;700.00;101.1;3843.6;3.222;111.5;4.207;1464.3;100.6;1.810;1464.3;120.00;costa_rica
10.322;11.153;831.00;987.00;6003.1;10.437;118.5;5.089;1722.7;106.0;1.825;1722.7;143.00;venezuela
9.733; 10.693 ;960.00;677.0;6092.8;9.793;122.2;5.194;1464.3;106.7;1.826;1464.3;166.00;costa_rica
75.778;80.295;4.517;853.00;3242.6;77.880;116.8;4.725;1550.4;101.4;1.827;1550.4;778.00;venezuela
21.375;22.226;851.00;510.4;5308.3;21.467;123.6;5.290;3100.8;110.5;1.833;3100.8;146.00;costa_rica
12.797;13.637;840.00;456.00;3439.0;13.015;113.3;4.712;1550.4;101.4;1.833;1550.4;145.00;costa_rica
13.802;14.300;498.00;2781.1;6798.3;14.293;101.5;4.845;3281.2;87.1;1.847;3281.2;94.00;costa_rica
12.531;13.116;585.00;232.9;4347.9;12.556;116.9;4.946;3100.8;106.0;1.849;3100.8;101.00;venezuela
7.799;8.500;701.00;563.00;3944.7;7.819;112.7;4.658;1636.5;99.1;1.851;1636.5;121.00;costa_rica
2.756;3.121;365.00;292.7;4000.2;2.891;102.6;4.958;1722.7;95.4;1.853;1722.7;63.00;ecuador
851.00;1.824;973.00;443.3;4488.1;1.486;106.6;5.188;1550.4;92.2;1.859;1550.4;168.00;ecuador
12.904;13.290;386.00;168.3;3703.1;12.904;96.6;4.321;1550.4;91.5;1.861;1550.4;67.00;ecuador
14.704;15.315;611.00;120.5;4699.2;14.861;104.5;4.819;1550.4;93.6;1.862;1550.4;106.00;ecuador
13.294;13.690;396.00;757.1;3217.6;13.357;108.9;3.857;1464.3;98.0;1.864;1464.3;68.00;costa_rica
64.162;65.509;1.347;689.00;4450.5;65.393;110.4;5.053;3703.7;99.9;1.865;3703.7;232.00;venezuela
6.715;7.803;1.088;306.2;5206.2;7.140;123.1;5.359;1722.7;111.2;1.876;1722.7;188.00;costa_rica
1.630;2.748;1.118;346.3;4848.7;2.229;108.8;4.799;3186.9;93.8;1.916;3186.9;193.00;venezuela
16.788;17.733;945.00;714.6;5206.2;16.858;123.4;5.140;3186.9;109.6;1.921;3186.9;163.00;costa_rica
6.621;7.122;501.00;675.00;4069.3;6.838;117.0;4.476;3876.0;102.6;1.923;3876.0;86.00;costa_rica
18.505;19.131;626.00;274.5;5319.1;18.918;116.8;5.101;3100.8;103.9;1.924;3100.8;108.00;costa_rica
863.00;1.319;456.00;854.00;3659.4;888.00;102.3;4.707;3273.0;90.6;1.925;3273.0;79.00;venezuela
19.810;20.323;513.00;97.1;3691.2;19.865;108.8;4.743;1808.8;96.4;1.931;1808.8;88.00;venezuela
30.717;33.754;3.037;183.0;4757.7;31.597;118.5;3.814;1722.7;107.1;1.933;1722.7;523.00;costa_rica
30.717;33.754;3.037;183.0;4757.7;31.597;118.5;3.814;1722.7;107.1;1.933;1722.7;523.00;costa_rica
334.00;1.462;1.128;310.6;5046.7;580.00;118.5;5.273;1550.4;104.0;1.934;1550.4;194.00;venezuela
13.912;15.771;1.859;644.00;3885.5;15.650;113.8;4.887;1808.8;99.6;1.948;1808.8;320.00;venezuela
1.230;2.648;1.418;1429.2;6839.6;1.649;122.2;5.278;3273.0;109.7;1.969;3273.0;245.00;costa_rica
1.230;2.648;1.418;1429.2;6839.6;1.649;122.2;5.278;3273.0;109.7;1.969;3273.0;245.00;costa_rica
16.299;16.720;421.00;505.7;3337.8;16.353;109.2;4.259;1550.4;96.6;1.982;1550.4;73.00;costa_rica
6.731;7.347;616.00;337.9;5237.9;6.769;113.5;4.588;1636.5;101.4;1.982;1636.5;106.00;ecuador
2.527;2.936;409.00;656.8;4128.5;2.601;103.5;4.774;1636.5;94.3;1.983;1636.5;70.00;venezuela
4.751;5.171;420.00;591.4;3970.7;4.824;112.8;4.523;1464.3;102.8;1.998;1464.3;72.00;ecuador
4.00;2.00;3.00;456.00;5415.8;580.00;118.5;5.387;1550.4;104.0;1.999;1550.4;216.00;costa_rica
12.00;31.00;19.00;456.00;5415.8;580.00;118.5;5.387;1550.4;104.0;1.999;1550.4;642.00;costa_rica
